Year,FLOOR,TIMESLOT,Number_of_People
2017,2,15:00,22.75
2017,2,16:00,23.3
2017,2,17:00,28.571428571428573
2017,2,17:30,3.5
2017,2,18:00,4.0
2017,2,18:30,23.416666666666668
2017,2,19:00,4.0
2017,2,19:30,23.416666666666668
2017,2,20:30,25.227272727272727
2017,3,09:00,22.441176470588236
2017,3,10:00,23.05263157894737
2017,3,11:00,28.027027027027028
2017,3,12:00,28.9375
2017,3,13:00,28.13157894736842
2017,3,14:00,27.08108108108108
2017,3,15:00,28.885714285714286
2017,3,16:00,24.87878787878788
2017,3,17:00,24.0
2017,3,18:00,10.6
2017,3,18:30,10.2
2017,3,19:00,4.0
2017,3,19:30,10.2
2017,3,20:30,10.2
2017,4,09:00,26.416666666666668
2017,4,10:00,23.931818181818183
2017,4,11:00,25.35135135135135
2017,4,12:00,28.764705882352942
2017,4,13:00,25.457142857142856
2017,4,14:00,26.81578947368421
2017,4,15:00,26.6875
2017,4,16:00,23.818181818181817
2017,4,17:00,27.818181818181817
2017,4,18:00,45.0
2017,5,09:00,26.64864864864865
2017,5,10:00,26.520833333333332
2017,5,11:00,27.07894736842105
2017,5,12:00,26.925925925925927
2017,5,13:00,23.666666666666668
2017,5,14:00,23.365853658536587
2017,5,15:00,24.431818181818183
2017,5,16:00,23.677419354838708
2017,5,17:00,23.533333333333335
2017,5,18:30,6.5
2017,5,19:30,6.5
2018,0,09:00,66.0
2018,0,10:00,69.4
2018,0,11:00,79.5
2018,0,12:00,59.666666666666664
2018,0,13:00,68.0
2018,0,14:00,76.5
2018,0,15:00,67.0
2018,0,16:00,62.0
2018,0,17:00,69.0
2018,1,09:00,27.641025641025642
2018,1,10:00,27.775
2018,1,11:00,26.363636363636363
2018,1,12:00,23.814814814814813
2018,1,13:00,24.457142857142856
2018,1,14:00,24.21212121212121
2018,1,15:00,25.6
2018,1,16:00,21.615384615384617
2018,1,17:00,19.11764705882353
2018,1,18:00,12.0
2018,1,19:00,21.0
2018,2,09:00,24.075
2018,2,10:00,24.29268292682927
2018,2,11:00,25.675675675675677
2018,2,12:00,22.3125
2018,2,13:00,25.71794871794872
2018,2,14:00,26.105263157894736
2018,2,15:00,25.16216216216216
2018,2,16:00,22.869565217391305
2018,2,17:00,22.153846153846153
2018,2,18:00,22.0
2018,3,09:00,26.970588235294116
2018,3,10:00,24.72972972972973
2018,3,11:00,23.272727272727273
2018,3,12:00,19.5
2018,3,13:00,24.085714285714285
2018,3,14:00,25.487179487179485
2018,3,15:00,25.53125
2018,3,16:00,23.3
2018,3,17:00,25.454545454545453
2018,3,18:00,24.0
2018,4,09:00,24.10810810810811
2018,4,10:00,23.666666666666668
2018,4,11:00,26.34285714285714
2018,4,12:00,25.59259259259259
2018,4,13:00,25.02857142857143
2018,4,14:00,25.307692307692307
2018,4,15:00,24.97222222222222
2018,4,16:00,22.476190476190474
2018,4,17:00,20.0
2018,4,18:00,22.0
2018,5,09:00,27.256410256410255
2018,5,10:00,26.4
2018,5,11:00,25.29268292682927
2018,5,12:00,22.766666666666666
2018,5,13:00,24.685714285714287
2018,5,14:00,25.333333333333332
2018,5,15:00,24.81081081081081
2018,5,16:00,21.59090909090909
2018,5,17:00,23.846153846153847
2018,5,18:00,21.666666666666668
2019,1,09:00,47.25
2019,1,10:00,47.04
2019,1,11:00,49.69565217391305
2019,1,12:00,50.285714285714285
2019,1,13:00,42.65217391304348
2019,1,14:00,39.82608695652174
2019,1,15:00,48.416666666666664
2019,1,16:00,54.19047619047619
2019,1,17:00,56.73684210526316
2019,1,18:00,65.0
2019,2,09:00,41.96666666666667
2019,2,10:00,42.241379310344826
2019,2,11:00,39.90625
2019,2,12:00,38.51851851851852
